"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 12:21:01 AZT 2024","Mon Sep 02 12:21:45 AZT 2024","44178","tests","test_upload_and_download","TestUploadAndDownload","","","Test upload/download",""
"passed","Tue Sep 24 12:16:19 AZT 2024","Tue Sep 24 12:17:46 AZT 2024","86361","tyt.tests","test_tool_tips","TestToolTips","","","Check tool tips",""
"passed","Tue Sep 24 11:39:20 AZT 2024","Tue Sep 24 11:40:49 AZT 2024","88491","tyt.tests","test_auto_complete","TestAutoComplete","","","Input auto complete",""
"passed","Tue Sep 24 11:36:11 AZT 2024","Tue Sep 24 11:37:45 AZT 2024","93380","tyt.tests","test_accordian","TestAccordian","","","Click accordian card and check title, body",""
"passed","Tue Sep 24 12:14:45 AZT 2024","Tue Sep 24 12:16:18 AZT 2024","93149","tyt.tests","test_text_box","TestTextBox","","","Add user data",""
"passed","Mon Sep 02 12:20:08 AZT 2024","Mon Sep 02 12:20:56 AZT 2024","48409","tests","test_radio_button","TestRadioButton","","","Check radio button",""
"passed","Tue Sep 03 15:29:15 AZT 2024","Tue Sep 03 15:29:53 AZT 2024","37944","tyt.tests","test_demo_qa_elements","TestInputData","","","Add user data",""
"passed","Wed Sep 04 16:20:22 AZT 2024","Wed Sep 04 16:21:06 AZT 2024","43970","tyt.tests","test_text_box","TestTextBox","","","Add user data",""
"passed","Mon Sep 02 12:14:14 AZT 2024","Mon Sep 02 12:15:44 AZT 2024","90210","tests","test_broken_links_images","TestBrokenLinksImages","","","Click links",""
"passed","Tue Sep 24 12:11:42 AZT 2024","Tue Sep 24 12:13:12 AZT 2024","90150","tyt.tests","test_sortable","TestSortable","","","Check sortable",""
"passed","Tue Sep 24 12:08:29 AZT 2024","Tue Sep 24 12:10:01 AZT 2024","91993","tyt.tests","test_selectable","TestSelectable","","","Check selectable",""
"passed","Tue Sep 24 11:43:52 AZT 2024","Tue Sep 24 11:45:23 AZT 2024","90594","tyt.tests","test_browser_windows","TestBrowserWindows","","","Test switching",""
"passed","Tue Sep 24 11:50:02 AZT 2024","Tue Sep 24 11:51:37 AZT 2024","94443","tyt.tests","test_dragabble","TestDragabble","","","Check dragabble",""
"passed","Tue Sep 24 11:48:31 AZT 2024","Tue Sep 24 11:50:01 AZT 2024","89581","tyt.tests","test_date_picker","TestDatePicker","","","Input date",""
"failed","Tue Sep 24 11:59:21 AZT 2024","Tue Sep 24 12:00:51 AZT 2024","90243","tyt.tests","test_modal_dialogs","TestModalDialogs","","","Test select modal dialogs",""
